"i","T"
1,62
1,137
2,97
2,147
3,86
3,147
4,51
4,101
5,97
5,147
6,65
6,130
7,98
8,79
8,129
9,85
9,147
10,68
10,118
11,50
11,111
12,57
12,111
13,86
13,136
14,60
14,110
15,68
15,145
16,87
16,137
17,50
17,108
18,50
18,141
19,76
19,147
20,67
20,121
21,53
21,106
22,60
22,141
23,50
24,90
24,140
25,73
25,123
